"Date","Target","Season","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
2008-07-01,"No","winter",-4.30965017666949,-2.92923289116723,-0.999016508279066,-1.17830460950388,-0.223129689805033
2008-07-02,"No","winter",-2.85444861406614,-1.94076641599166,-0.880794257739732,-0.159787025120209,-0.729628545529851
2008-07-03,"Yes","winter",-3.2029267382001,-0.901666213740742,-1.18023517480797,-1.93454868725503,-0.975851710476836
2008-07-04,"Yes","winter",-3.7750050680959,0.721267628296719,-1.27427001831289,0.152733618871758,0.0804954668288223
2008-07-05,"Yes","winter",-2.88198027243754,1.3618480087963,1.15938635689876,1.08809787976262,0.485032299810127
2008-07-06,"No","winter",-4.30783871806699,-3.95293394296614,0.415407422739967,-0.437498237657654,0.10283859042935
2008-07-07,"No","winter",-2.92160216920729,-2.4727050699387,1.4965968676101,1.3719965987461,-1.3573918814279
2008-07-08,"Yes","winter",-2.76963985263909,-1.62681555218545,-0.425501912170049,1.21173962749741,-1.03880115526776
2008-07-09,"Yes","winter",-4.52629657514093,0.108392521520611,-1.64370767776557,-0.0750911785521656,1.08415541074238
2008-07-10,"Yes","winter",-2.33264472607196,1.94507878145294,0.186221496529315,1.99131689112391,-0.430566417083444
2008-07-11,"Yes","winter",-2.05657650080432,3.22708819493169,2.06969618701768,1.7623735954171,-0.266804580930236
2008-07-12,"No","winter",-4.27395998773808,0.289847956764906,-1.41806762461782,-0.129163236576311,0.0748342242975175
2008-07-13,"No","winter",-4.89758467450085,-0.668181694932839,-1.86404854895174,0.625659900705327,0.124174226462665
2008-07-14,"No","winter",-3.19100090960278,-0.542452402177633,0.180844059085231,0.838278051590302,0.214955759189592
2008-07-15,"Yes","winter",-2.50503173959304,3.62689298396781,0.785153465325206,1.13766477499273,-1.64943541081852
2008-07-16,"Yes","winter",-2.24164863391151,1.5852125578973,1.44850385324596,0.606414010186106,-0.360593002351382
2008-07-17,"Yes","winter",-3.59552114637696,1.57856547916245,0.141286520665774,-0.566572957399027,-1.76911629260147
2008-07-18,"Yes","winter",-0.28421685599093,4.89050246336218,3.9066008511645,0.767544026741394,-2.62660341484982
2008-07-19,"No","winter",-4.0356090887859,-1.59334079356973,1.47429761175265,-1.9313083397435,-0.0533606926184541
2008-07-20,"No","winter",-4.79528474476005,-2.83892425586275,-0.569487692705829,0.273481493709822,-0.293968097107345
2008-07-21,"No","winter",-4.96421784375382,-1.82022884031558,-1.16802401184522,0.547544310242005,0.28336344263665
2008-07-22,"No","winter",-3.22966303813593,-0.562052493595619,0.342628923676266,1.44193951726166,-1.040368895351
2008-07-23,"Yes","winter",-3.47925457682747,3.12837401978543,-0.598177117280349,1.08514654674974,-1.00108311991726
2008-07-24,"No","winter",-2.05739708007153,0.0829564165008056,0.429347757921765,-0.548953971344809,0.0487296029396715
2008-07-25,"Yes","winter",-4.15751215629499,2.24980967660586,-0.510545008951977,-0.229036742869163,-0.40913627150334
2008-07-26,"Yes","winter",-2.8019257771701,-0.709777316371565,0.191585181314715,-1.50904503773763,-0.985206168669692
2008-07-27,"Yes","winter",-3.14570809579187,3.04403721114283,-1.17755965950808,-0.264160091411201,-1.46867436470534
